gastLabel,episodeLabel,date
Helga Rohra,Markus Lanz 07.02.2012,2012-02-07T00:00:00Z
Markus Preiter,Markus Lanz 07.02.2012,2012-02-07T00:00:00Z
Peer Juhnke,Markus Lanz 07.02.2012,2012-02-07T00:00:00Z
Stephanie Schmidt,Markus Lanz 07.02.2012,2012-02-07T00:00:00Z
Werner Hansch,Markus Lanz 07.02.2012,2012-02-07T00:00:00Z
Bodo Bach,Markus Lanz 08.02.2012,2012-02-08T00:00:00Z
Eike Immel,Markus Lanz 08.02.2012,2012-02-08T00:00:00Z
Kate Abdo,Markus Lanz 08.02.2012,2012-02-08T00:00:00Z
Manfred Breuckmann,Markus Lanz 08.02.2012,2012-02-08T00:00:00Z
Monika Ivancan,Markus Lanz 08.02.2012,2012-02-08T00:00:00Z
Florian Schroeder,Markus Lanz 09.02.2012,2012-02-09T00:00:00Z
Gero Von,Markus Lanz 09.02.2012,2012-02-09T00:00:00Z
